,Underyling,quarter,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
2016-12-31,IDRA,2016-12-31,0.0,0.0,0.0,0.09973143740784114,-90.17427699747145
2015-12-31,IDRA,2015-12-31,0.0,0.0,0.0,0.09973143740784114,-90.17427699747145
2014-12-31,IDRA,2014-12-31,0.0,0.0,0.0,0.09973143740784114,-90.17427699747145
2017-12-31,IMOS,2017-12-31,0.9445553954472544,0.3803750004442555,0.7035525289060928,0.7771085879888782,0.10990655118363866
2016-12-31,IMOS,2016-12-31,0.9445553954472544,0.3803750004442555,0.7035525289060928,0.7771085879888782,0.10990655118363866
2015-12-31,IMOS,2015-12-31,0.9445553954472544,0.3803750004442555,0.7035525289060928,0.7771085879888782,0.10990655118363866
2014-12-31,IMOS,2014-12-31,0.9445553954472544,0.3803750004442555,0.7035525289060928,0.7771085879888782,0.10990655118363866
2017-12-31,INBK,2017-12-31,-0.19695488636767114,0.1686717739257393,0.11057453644092452,11.188694703622067,0.24291357992995852
2016-12-31,INBK,2016-12-31,-0.19695488636767114,0.1686717739257393,0.11057453644092452,11.188694703622067,0.24291357992995852
2015-12-31,INBK,2015-12-31,-0.19695488636767114,0.1686717739257393,0.11057453644092452,11.188694703622067,0.24291357992995852
2014-12-31,INBK,2014-12-31,-0.19695488636767114,0.1686717739257393,0.11057453644092452,11.188694703622067,0.24291357992995852
2017-12-31,INDB,2017-12-31,0.018221096637542622,0.15068755207930806,0.39526162527642195,7.941387462256639,0.24504682461131502
2016-12-31,INDB,2016-12-31,0.018221096637542622,0.15068755207930806,0.39526162527642195,7.941387462256639,0.24504682461131502
2015-12-31,INDB,2015-12-31,0.018221096637542622,0.15068755207930806,0.39526162527642195,7.941387462256639,0.24504682461131502
2014-12-31,INDB,2014-12-31,0.018221096637542622,0.15068755207930806,0.39526162527642195,7.941387462256639,0.24504682461131502
2017-12-30,INTC,2017-12-30,0.12075285585912139,0.048060235898194525,0.46821374750090466,0.7192965559865839,0.1776633260389587
