Symbol	Description
DEX.V	Almadex Minerals Ltd
DFR.V	Diamond Fields Resources Inc.
DFS.V	Global Daily Fantasy Sports Inc
DGO.V	Durango Resources Inc
DHR.V	Discovery Harbour Resources Corp
DIA.V	Margaret Lake Diamonds Inc
DJI.V	Dajin Resources Corp
DLC.V	Dlc Holdings Corp
DLI.V	Desert Lion Energy Inc.
DLS.V	Dealnet Capital Corp
DLV.H.V	Dv Resources Ltd
DM.V	Datametrex Ai Ltd
DMA.V	Diamedica Therapeutics Inc
DMC.H.V	Dataminers Capital Corp
DME.V	Desert Mountain Energy Corp.
DMG.H.V	Dmd Digital Health Connections Group Inc
DMGI.V	Dmg Blockchain Solutions Inc
DMI.V	Diamcor Mining Inc
DMR.V	Damara Gold Corp
DNAX.V	Blockstrain Technology Corp.
DNX.V	Dynex Power Inc
DOS.V	Dios Exploration Inc
DPH.V	Duncan Park Holdings Corp
DRV.V	Duran Ventures Inc
DSM.V	Deep South Resources Inc
DSV.V	Discovery Metals Corp
DSY.V	Destiny Media Technologies Inc
DUG.V	Distinct Infrastructure Group Inc
DV.V	Dolly Varden Silver Corp
DVA.V	Delivra Corp
DVC.H.V	Devin Energy Corp
DVG.V	Divergent Energy Services Corp
DVI.V	Dunnedin Ventures Inc
DVT.V	Divestco Inc
DWS.V	Diamond Estates Wines and Spirits Inc
DXA.V	Doxa Energy Ltd
DXX.V	Dxstorm.Com Inc.
DYA.V	Dynacert Inc
DYG.V	Dynasty Gold Corp
EAM.V	East Africa Metals Inc
EAS.V	East Asia Minerals Corp
EAST.V	Harbour Star Capital Inc
EAU.V	Engineer Gold Mines Ltd
EBM.V	Eastwood Bio Medical Canada Inc
EBY.V	Emerald Bay Energy Inc
ECC.V	Ethos Gold Corp
ECM.V	Ecolomondo Corporation
ECR.V	Cartier Resources Inc
ECT.V	Ellipsiz Communications Ltd
ECX.H.V	Eastcoal Inc
EDDY.V	Edison Cobalt Corp.
EDG.V	Endurance Gold Corp
EDW.H.V	Edgewater Exploration Ltd
EGA.V	Eagle Graphite Incorporated
EGD.V	Energold Drilling Corp
EGM.V	Engold Mines Ltd
EGT.V	Eguana Technologies Inc
EHT.V	Enerdynamic Hybrid Tech Corp
EIL.V	Empire Industries Ltd
EKG.V	Cardiocomm Solutions Inc
EL.V	Engagement Labs Inc
ELC.V	Elysee Development Corp
ELM.V	Element Lifestyle Retirement Inc
ELN.V	El Nino Ventures Inc
ELO.V	Eloro Resources Ltd
