,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate,priorQShares,recQShares,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
allFirms,MTZ,11.0,298.0,2018-03-31,2018-06-30,64331999.99999999,65029000.0,1.08,35.0,95.0,45.0,120.0
hedgeFunds,MTZ,6.0,38.0,2018-03-31,2018-06-30,10971000.0,9978000.0,-9.06,6.0,8.0,13.0,20.0
allFirms,MUR,6.0,341.0,2018-03-31,2018-06-30,164903000.0,155049000.0,-5.98,38.0,111.0,33.0,120.0
hedgeFunds,MUR,0.0,43.0,2018-03-31,2018-06-30,8020000.0,5912000.0,-26.28,5.0,11.0,7.0,22.0
allFirms,MUSA,2.0,251.0,2018-03-31,2018-06-30,30036000.0,31298000.0,4.2,34.0,77.0,46.0,88.0
hedgeFunds,MUSA,1.0,28.0,2018-03-31,2018-06-30,4703000.0,5029000.0,6.93,8.0,9.0,7.0,8.0
allFirms,MUX,1.0,121.0,2018-03-31,2018-06-30,107937000.0,102899000.0,-4.67,17.0,32.0,12.0,28.0
hedgeFunds,MUX,0.0,13.0,2018-03-31,2018-06-30,3877000.0,5040000.0,29.99,4.0,3.0,2.0,1.0
allFirms,MVC,2.0,51.0,2018-03-31,2018-06-30,8694000.0,8093000.0,-6.91,4.0,11.0,4.0,10.0
hedgeFunds,MVC,1.0,12.0,2018-03-31,2018-06-30,4464000.0,4163999.9999999995,-6.72,1.0,2.0,2.0,2.0
allFirms,MWA,0.0,203.0,2018-03-31,2018-06-30,133708000.0,136468000.0,2.06,27.0,65.0,31.0,66.0
hedgeFunds,MWA,0.0,36.0,2018-03-31,2018-06-30,19599000.0,18857000.0,-3.79,8.0,10.0,13.0,13.0
allFirms,MX,7.0,78.0,2018-03-31,2018-06-30,31881000.0,31999000.0,0.37,16.0,26.0,12.0,23.0
hedgeFunds,MX,3.0,28.0,2018-03-31,2018-06-30,13159000.0,13256000.0,0.74,9.0,11.0,6.0,5.0
allFirms,MXL,3.0,163.0,2018-03-31,2018-06-30,62584000.0,65093000.0,4.01,16.0,70.0,21.0,48.0
hedgeFunds,MXL,2.0,17.0,2018-03-31,2018-06-30,5218000.0,6464000.0,23.89,6.0,4.0,4.0,7.0
allFirms,MYE,1.0,151.0,2018-03-31,2018-06-30,25989000.0,30535000.0,17.49,30.0,61.0,8.0,33.0
hedgeFunds,MYE,0.0,26.0,2018-03-31,2018-06-30,1290000.0,2362000.0,83.11,13.0,11.0,2.0,1.0
allFirms,MYI,2.0,81.0,2018-03-31,2018-06-30,9025000.0,9623000.0,6.62,13.0,22.0,12.0,18.0
hedgeFunds,MYI,1.0,7.0,2018-03-31,2018-06-30,1243000.0,1034000.0,-16.86,1.0,3.0,3.0,3.0
allFirms,MYOV,2.0,29.0,2018-03-31,2018-06-30,11975000.0,14344000.0,19.79,6.0,7.0,8.0,5.0
hedgeFunds,MYOV,2.0,9.0,2018-03-31,2018-06-30,5716000.0,5297000.0,-7.33,2.0,1.0,2.0,1.0
allFirms,NAC,0.0,86.0,2018-03-31,2018-06-30,9391000.0,10441000.0,11.19,15.0,34.0,7.0,20.0
hedgeFunds,NAC,0.0,12.0,2018-03-31,2018-06-30,1006000.0,1225000.0,21.67,1.0,7.0,1.0,1.0
allFirms,NAO,,,,,,,,,,,
hedgeFunds,NAO,,,,,,,,,,,
allFirms,NAT,0.0,116.0,2018-03-31,2018-06-30,34820000.0,35229000.0,1.17,13.0,44.0,18.0,32.0
hedgeFunds,NAT,0.0,13.0,2018-03-31,2018-06-30,4392000.0,3993000.0,-9.09,4.0,2.0,3.0,5.0
