,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate, priorQShares , recQShares ,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
hedgeFunds,EWG,1,14,3/31/2018,6/30/2018," 1,053,000.00 "," 1,296,000.00 ",23.11,5,1,4,6
allFirms,EWH,3,155,3/31/2018,6/30/2018,36889000,46938000,27.24,23,53,25,46
hedgeFunds,EWH,1,13,3/31/2018,6/30/2018," 16,043,000.00 "," 20,939,000.00 ",30.52,3,6,2,4
allFirms,EWJ,32,461,3/31/2018,6/30/2018,218361000,195599000,-10.42,55,156,79,164
hedgeFunds,EWJ,2,40,3/31/2018,6/30/2018," 7,938,000.00 "," 6,712,000.00 ",-15.44,8,14,11,13
allFirms,EWT,11,182,3/31/2018,6/30/2018,81450000,91408000,12.23,24,50,33,66
hedgeFunds,EWT,3,20,3/31/2018,6/30/2018," 10,514,000.00 "," 10,738,000.00 ",2.13,6,3,4,8
allFirms,EWY,11,224,3/31/2018,6/30/2018,31608000,29950000,-5.24,33,71,42,78
hedgeFunds,EWY,1,21,3/31/2018,6/30/2018," 3,132,000.00 "," 2,531,000.00 ",-19.18,6,7,5,4
allFirms,EWZ,12,219,3/31/2018,6/30/2018,87994000,115607000,31.38,31,72,64,76
hedgeFunds,EWZ,8,27,3/31/2018,6/30/2018," 27,188,000.00 "," 26,367,000.00 ",-3.02,6,11,10,8
allFirms,EZU,15,240,3/31/2018,6/30/2018,159282000,125805000,-21.02,24,77,38,98
hedgeFunds,EZU,1,16,3/31/2018,6/30/2018," 3,233,000.00 "," 2,158,000.00 ",-33.25,2,4,4,8
allFirms,FBGX,1,26,3/31/2018,6/30/2018,5793000,5741000,-0.89,7,2,2,
hedgeFunds,FBGX,1,3,3/31/2018,6/30/2018," 5,765,000.00 "," 5,698,000.00 ",-1.16,1,1,1,
allFirms,FCTR,,,,,,,,,,,
hedgeFunds,FCTR,,,,,,,,,,,
allFirms,FEN,,,,,,,,,,,
hedgeFunds,FEN,,,,,,,,,,,
allFirms,FEZ,8,214,3/31/2018,6/30/2018,46224000,41626000,-9.95,41,52,20,70
hedgeFunds,FEZ,3,21,3/31/2018,6/30/2018," 1,559,000.00 "," 1,805,000.00 ",15.78,6,7,3,4
allFirms,FFEU,0,3,3/31/2018,6/30/2018,4351000,7069000,62.46,1,,,
hedgeFunds,FFEU,0,1,3/31/2018,6/30/2018," 4,351,000.00 "," 7,066,000.00 ",62.4,1,,,
allFirms,FIBR,,,,,,,,,,,
hedgeFunds,FIBR,,,,,,,,,,,
allFirms,FIEE,0,14,3/31/2018,6/30/2018,3282000,3252000,-0.93,1,,,
hedgeFunds,FIEE,0,1,3/31/2018,6/30/2018," 3,265,000.00 "," 3,228,000.00 ",-1.13,1,,,
allFirms,FIHD,0,11,3/31/2018,6/30/2018,7244000,8026000,10.8,1,4,,
hedgeFunds,FIHD,0,1,3/31/2018,6/30/2018," 7,234,000.00 "," 8,022,000.00 ",10.88,1,1,,
allFirms,FINZ,,,,,,,,,,,
hedgeFunds,FINZ,,,,,,,,,,,
allFirms,FIYY,1,9,3/31/2018,6/30/2018,15411000,15676000,1.72,1,,,
hedgeFunds,FIYY,1,1,3/31/2018,6/30/2018," 15,407,000.00 "," 15,640,000.00 ",1.51,1,,,
allFirms,FLDR,,,,,,,,,,,
hedgeFunds,FLDR,,,,,,,,,,,
allFirms,FLGE,1,26,3/31/2018,6/30/2018,7884000,7956000,0.91,4,5,,
hedgeFunds,FLGE,1,3,3/31/2018,6/30/2018," 7,859,000.00 "," 7,927,000.00 ",0.87,1,1,,
allFirms,FLHK,,,,,,,,,,,
hedgeFunds,FLHK,,,,,,,,,,,
allFirms,FLOT,53,446,3/31/2018,6/30/2018,87485000,108141000,23.61,61,226,27,97
hedgeFunds,FLOT,3,18,3/31/2018,6/30/2018," 1,826,000.00 "," 2,265,000.00 ",24.04,2,12,2,3
allFirms,FLSW,,,,,,,,,,,
hedgeFunds,FLSW,,,,,,,,,,,
allFirms,FMDG,,,,,,,,,,,
hedgeFunds,FMDG,,,,,,,,,,,
allFirms,FNGO,,,,,,,,,,,
hedgeFunds,FNGO,,,,,,,,,,,
allFirms,FNGU,,,,,,,,,,,
hedgeFunds,FNGU,,,,,,,,,,,
allFirms,FNGZ,,,,,,,,,,,
hedgeFunds,FNGZ,,,,,,,,,,,
allFirms,FSP,0,183,3/31/2018,6/30/2018,86833000,85804000,-1.18,22,58,16,54
hedgeFunds,FSP,0,22,3/31/2018,6/30/2018," 11,905,000.00 "," 12,055,000.00 ",1.27,5,4,1,9
allFirms,FTNW,,,,,,,,,,,
hedgeFunds,FTNW,,,,,,,,,,,
allFirms,FXI,22,243,3/31/2018,6/30/2018,53413000,73503000,37.61,48,69,57,61
hedgeFunds,FXI,7,29,3/31/2018,6/30/2018," 8,543,000.00 "," 13,727,000.00 ",60.68,12,10,10,3
allFirms,GASX,,,,,,,,,,,
hedgeFunds,GASX,,,,,,,,,,,
allFirms,GAZB,,,,,,,,,,,
hedgeFunds,GAZB,,,,,,,,,,,
allFirms,GBIL,2,56,3/31/2018,6/30/2018,9196000,9428000,2.52,16,17,,
hedgeFunds,GBIL,1,4,3/31/2018,6/30/2018," 5,213,000.00 "," 5,488,000.00 ",5.29,1,1,,
allFirms,GDX,22,370,3/31/2018,6/30/2018,203356000,198249000,-2.51,47,108,49,126
hedgeFunds,GDX,7,45,3/31/2018,6/30/2018," 22,648,000.00 "," 20,213,000.00 ",-10.75,7,15,12,13
allFirms,GDXJ,5,175,3/31/2018,6/30/2018,78663000,92213000,17.23,21,44,34,51
hedgeFunds,GDXJ,1,22,3/31/2018,6/30/2018," 16,484,000.00 "," 15,177,000.00 ",-7.93,3,7,5,5
allFirms,GGN,,,,,,,,,,,
hedgeFunds,GGN,,,,,,,,,,,
allFirms,GII,,,,,,,,,,,
hedgeFunds,GII,,,,,,,,,,,
allFirms,GLD,91,1000,3/31/2018,6/30/2018,117745000,109497000,-7,66,326,83,326
hedgeFunds,GLD,23,91,3/31/2018,6/30/2018," 15,604,000.00 "," 14,322,000.00 ",-8.21,9,32,16,26
allFirms,GLF,3,49,3/31/2018,6/30/2018,4775000,5116000,7.14,27,6,7,
hedgeFunds,GLF,2,12,3/31/2018,6/30/2018," 3,256,000.00 "," 3,168,000.00 ",-2.7,6,3,5,
allFirms,GMI,,,,,,,,,,,
hedgeFunds,GMI,,,,,,,,,,,
allFirms,GORO,1,96,3/31/2018,6/30/2018,23180000,25434000,9.72,22,41,16,
hedgeFunds,GORO,1,22,3/31/2018,6/30/2018," 2,969,000.00 "," 4,143,000.00 ",39.57,5,11,5,
allFirms,GOVT,9,161,3/31/2018,6/30/2018,194782000,236465000,21.4,26,83,24,37
hedgeFunds,GOVT,2,5,3/31/2018,6/30/2018," 3,703,000.00 "," 5,765,000.00 ",55.67,2,1,1,2
allFirms,GPL,0,39,3/31/2018,6/30/2018,24213000,25316000,4.56,9,12,,
hedgeFunds,GPL,0,7,3/31/2018,6/30/2018," 2,481,000.00 "," 2,880,000.00 ",16.08,2,3,,
allFirms,GREK,3,58,3/31/2018,6/30/2018,16398000,17444000,6.37,10,18,20,14
hedgeFunds,GREK,2,4,3/31/2018,6/30/2018," 3,491,000.00 "," 3,540,000.00 ",1.4,1,2,5,1
allFirms,GRNB,,,,,,,,,,,
hedgeFunds,GRNB,,,,,,,,,,,
allFirms,GSAT,7,123,3/31/2018,6/30/2018,456802000,416911000,-8.73,21,33,34,36
hedgeFunds,GSAT,7,33,3/31/2018,6/30/2018," 273,523,000.00 "," 291,223,000.00 ",6.47,7,13,9,9
allFirms,GSB,1,35,3/31/2018,6/30/2018,5948000,6210000,4.41,8,9,,
hedgeFunds,GSB,1,3,3/31/2018,6/30/2018," 2,848,000.00 "," 2,924,000.00 ",2.65,1,2,,
allFirms,GSD,,,,,,,,,,,
hedgeFunds,GSD,,,,,,,,,,,
allFirms,GSS,1,69,3/31/2018,6/30/2018,138359000,128775000,-6.93,8,21,10,15
hedgeFunds,GSS,1,10,3/31/2018,6/30/2018," 32,997,000.00 "," 37,456,000.00 ",13.51,2,4,1,4
allFirms,GST,1,79,3/31/2018,6/30/2018,130868000,126689000,-3.19,16,12,24,26
hedgeFunds,GST,1,16,3/31/2018,6/30/2018," 92,451,000.00 "," 96,356,000.00 ",4.22,6,1,3,4
allFirms,GSV,,,,,,,,,,,
hedgeFunds,GSV,,,,,,,,,,,
allFirms,GTE,1,146,3/31/2018,6/30/2018,270549000,291397000,7.71,33,48,9,41
