,52WeekChange,debtEquityRatio,earningsGrowth,earningsQuarterlyGrowth,grossMargins,grossProfits,pegRatio,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,score,sector
RUBI,-0.661977521,0.193285981,-0.271752907,-0.287312413,-0.169981323,-0.122612124,-0.113947572,-5.795910157,-1.255609578,-0.765087145,-2.261761132,-1.09160999,Technology
TK,-0.728064321,0.91393502,-0.296609193,-0.319695954,-0.293441479,-0.355259465,-0.147686847,-0.357318677,-0.376623372,0.030045885,-1.507296523,-1.09940607,Energy
APRN,-1.6381984,0.040875519,-0.237508362,-0.235767393,-0.51999422,-0.342283503,-0.131206154,-2.70201978,-3.976123993,-1.071648336,-1.552475878,-1.112617335,Consumer Cyclical
WHR,-1.015608466,1.503001576,-0.237508362,-0.235767393,-1.281099304,-0.090936107,-0.113714619,-0.696627588,-0.299088832,-0.031795214,-0.715539519,-1.119314434,Consumer Cyclical
MAT,-0.659549955,1.518247344,-0.237508362,-0.235767393,-0.257348368,-0.223073188,-0.168896246,-3.229989604,-1.514773002,-0.489222274,-1.111770259,-1.119393225,Consumer Cyclical
STAA,1.974505115,0.105815626,-0.259239748,-0.256282599,0.596810599,-0.517833663,4.904192791,0.379926224,0.48835784,0.368480808,-0.104513901,-1.13308565,Healthcare
FTR,-0.574471383,1.883446208,-0.362793807,-0.342585051,0.020796557,-0.511241342,0.206977614,-0.996021895,-0.010965954,-2.192552444,-0.404789305,-1.144159439,Communication Services
AAOI,-1.205620698,-0.13634164,-0.684547225,-0.738198787,-0.657357253,-0.122234254,-0.111679889,0.336486833,0.201132034,0.188894078,-1.900406343,-1.180850913,Technology
FSLR,-0.530054722,-0.137295936,-0.271752907,-0.287312413,-1.488217483,-0.120111292,-0.099091573,-0.42655418,-0.148965267,0.043203863,-3.024621242,-1.196680454,Technology
GMLP,-1.375031152,0.02319021,-0.849204999,-0.826033934,2.508371068,-0.772677661,0.10373449,1.28767902,-0.422344281,-0.303665691,-1.247133789,-1.199431547,Industrials
HK,-0.815001739,0.093842702,-0.296609193,-0.319695954,0.70744124,-0.398440577,0.114546915,4.147528941,-1.420255211,0.201342189,-2.391720958,-1.237240502,Energy
TOT,-0.099746927,0.150976602,-0.156585981,-0.164605846,-0.531563102,2.879677476,3.28973818,0.006271742,0.49015518,0.110055051,-0.029660576,-1.242236088,Energy
BOX,-0.249103803,3.718585251,-0.271752907,-0.287312413,0.795396899,-0.1231604,-0.143713136,-1.167772637,-1.724403096,-3.830343962,0.142809625,-1.317639733,Technology
OLED,-0.799021839,-0.16293018,-0.713213497,-0.767469035,0.970824813,-0.12169301,-0.110447841,0.803261946,0.331811315,0.18074673,-2.79264039,-1.343832568,Technology
HBI,-1.060309773,2.114284628,-0.30472019,-0.30726767,0.019669869,-0.169290882,0.164900539,-0.404495267,0.168349921,0.048184044,-0.388042683,-1.344085937,Consumer Cyclical
NWL,-1.713413318,0.170917114,-0.645829307,-0.67489619,-0.167389414,-0.204359245,0.117623211,0.497476396,-0.966447169,-0.237418904,-1.405068358,-1.350950436,Consumer Defensive
HRB,-0.47936742,3.232500163,-0.237508362,-0.235767393,0.358988374,-0.254694369,-0.103719457,1.242085287,1.8022062,0.027538373,-0.339524633,-1.395060374,Consumer Cyclical
PBI,-1.523406359,2.247588973,-0.397001008,-0.391824851,0.687239747,-0.448479346,0.104838982,-0.257384787,-0.331284091,3.997516831,0.084520777,-1.396104848,Industrials
DB,-1.14818015,2.122613027,-0.414152495,-0.245781571,-0.931465748,0.513825114,0.169762115,-0.842579053,-0.696476735,-0.90395689,-0.487359916,-1.447355901,Financial Services
LXP,-0.511474476,-0.226598914,-0.306608281,-0.309021841,0.685598306,-0.688851244,3.721784452,-0.928262462,-0.211838,-0.743434068,-0.291103872,-1.534790723,Real Estate
IBKR,0.988200154,5.908868803,0.086087821,0.065347988,1.20337872,-0.599532495,0.118457112,-0.421984268,-0.363881134,0.057008964,0.267721805,-1.561772045,Financial Services
ORLY,0.605262029,5.133903456,-0.091178611,-0.139918373,0.786222652,-0.006971605,-0.107051178,0.764762663,1.075094059,1.001917753,-0.266747559,-1.59317214,Consumer Cyclical
YNDX,-0.743730423,-0.175771697,4.605526628,5.123946839,0.860971785,0.266302255,10.05075157,1.405242431,0.131420246,0.350007131,0.749528777,-1.754551632,Technology
BEN,-1.046651803,-1.019328688,-0.191491383,-0.191214233,0.224798152,-0.526370029,4.563669183,-0.256173597,0.908863966,-0.491665384,-0.580452183,-1.787645288,Financial Services
EIGI,-0.258063174,4.352112047,-0.271752907,-0.287312413,-0.113734934,-0.119851226,-0.121304148,-0.238096798,-0.006869798,-0.24949938,-0.843108997,-1.867910993,Technology
COUP,1.669579802,-0.239374871,-0.271752907,-0.287312413,0.583745335,-0.122455683,8.175271044,-1.05984548,-0.773861408,-0.139835876,0.874441544,-1.887875912,Technology
NCR,-1.056583561,4.272600883,-0.271752907,-0.287312413,-1.203664464,-0.112745772,-0.109215793,-0.128153418,0.198784018,0.07873953,-0.932332402,-2.14135132,Technology
RAD,-1.371558199,0.134640617,-0.225731302,-0.218553541,-0.818342301,-0.223076222,4.2613276,-0.34644207,-1.254548044,-0.4784553,-0.668490673,-2.220582797,Consumer Defensive
AKS,-0.618563727,7.553310124,-0.273143713,-0.31464764,-1.411149826,-0.229340543,-0.313809852,-0.407299969,-0.419696636,-0.815134847,-0.154775174,-2.761994295,Basic Materials
SRPT,1.539370099,0.116741313,-0.259239748,-0.256282599,-0.746424575,-0.526413053,9.923735276,-1.132637073,-0.133685403,-0.047470202,0.025586222,-2.911586672,Healthcare
VIPS,-0.984228487,-0.02285543,-0.025118986,0.059509426,-1.048705189,0.861669946,12.20782209,-0.204912505,-0.21878288,0.120628096,0.186087572,-4.336075521,Consumer Cyclical
