Quarter,payoutRatio,debtEquityRatio,netMargin,roic,dividendsPaid,Underyling,DivGrowth
12/31/2017,0.988953715,1.11735548,0.057961278,0,12713000,TWM.TO,24.37%
10/31/2014,0.321000705,9.313187684,0.191834528,0.136086066,1822000,VB.TO,
10/31/2015,0.221708445,9.988532884,0.24297076,0,1822000,VB.TO,0.00%
10/31/2016,0.259858323,9.700064517,0.218265217,0,2201000,VB.TO,20.80%
10/31/2017,0.1130341,8.462467356,0.442877613,0,2201000,VB.TO,0.00%
12/31/2014,0.374263198,0.526903068,0.641113578,10.06600691,169594000,WCP.TO,
12/31/2015,-0.42518968,0.668817641,-0.927980088,-13.83490654,212898000,WCP.TO,25.53%
12/31/2016,0.682415021,0.639407278,0.313614999,12.4905185,116521000,WCP.TO,-45.27%
12/31/2017,-0.846395844,0.78851159,-0.144690586,-7.538696047,104926000,WCP.TO,-9.95%
12/31/2014,0.215923538,1.614024063,0.071407843,0,61313000,WJA.TO,
12/31/2015,0.189674312,1.616858326,0.091228913,0,69711000,WJA.TO,13.70%
12/31/2016,0.226654888,1.991357314,0.071654687,8.370162807,66967000,WJA.TO,-3.94%
12/31/2017,0.228811826,1.937748924,0.062912368,1.698452996,64886000,WJA.TO,-3.11%
12/31/2014,0.863681592,4.131669417,0.126510574,2.772408418,86800000,X.TO,
12/31/2015,-1.663479924,5.092934003,-0.068527254,0,87000000,X.TO,0.23%
12/31/2016,0.459266802,6.601396925,0.263482694,0,90200000,X.TO,3.68%
12/31/2017,0.292934783,7.051024255,0.492439449,0,107800000,X.TO,19.51%
12/31/2014,-0.103318632,0.856585395,-0.753691897,-3.063537221,142900000,YRI.TO,
12/31/2015,-0.026101759,0.961208766,-1.229106126,-15.88155803,55200000,YRI.TO,-61.37%
12/31/2016,-0.090938616,0.935618989,-0.172232477,-10.84868421,28000000,YRI.TO,-49.28%
12/31/2017,-0.097222222,1.000602773,-0.10777248,-7.023333333,18900000,YRI.TO,-32.50%
